   PHI1    PHI2     PHI       ODF
   25.00   60.00    0.00   0.208858E+01
   30.00   60.00    0.00   0.231879E+01
   35.00   60.00    0.00   0.211243E+01
   40.00   60.00    0.00   0.201409E+01
   45.00   60.00    0.00   0.423817E+01
   50.00   60.00    0.00   0.129953E+00
   55.00   60.00    0.00   0.194648E+00
   60.00   60.00    0.00   0.234218E+00
   65.00   60.00    0.00   0.213519E+00
   70.00   60.00    0.00   0.266402E+00
   75.00   60.00    0.00   0.271176E+00
   80.00   60.00    0.00   0.267910E+00
   85.00   60.00    0.00   0.214232E+00
   90.00   60.00    0.00   0.233705E+00
    0.00   65.00    0.00   0.205880E+00
    5.00   65.00    0.00   0.136375E+00
   10.00   65.00    0.00   0.293037E+01
   15.00   65.00    0.00   0.237069E+01
   20.00   65.00    0.00   0.211323E+01
   25.00   65.00    0.00   0.231743E+01
   30.00   65.00    0.00   0.211187E+01
   35.00   65.00    0.00   0.201377E+01
   40.00   65.00    0.00   0.222446E+01
   45.00   65.00    0.00   0.130136E+00
   50.00   65.00    0.00   0.194812E+00
   55.00   65.00    0.00   0.234120E+00
   60.00   65.00    0.00   0.213574E+00
   65.00   65.00    0.00   0.266168E+00
   70.00   65.00    0.00   0.271442E+00
   75.00   65.00    0.00   0.270558E+00
   80.00   65.00    0.00   0.216017E+00
   85.00   65.00    0.00   0.231898E+00
   90.00   65.00    0.00   0.201162E+00
    0.00   70.00    0.00   0.151642E+02
    5.00   70.00    0.00   0.293040E+01
   10.00   70.00    0.00   0.237029E+01
   15.00   70.00    0.00   0.210853E+01
   20.00   70.00    0.00   0.231883E+01
   25.00   70.00    0.00   0.211447E+01
   30.00   70.00    0.00   0.201551E+01
   35.00   70.00    0.00   0.222623E+01
   40.00   70.00    0.00   0.130189E+00
   45.00   70.00    0.00   0.194686E+00
   50.00   70.00    0.00   0.234202E+00
   55.00   70.00    0.00   0.213760E+00
   60.00   70.00    0.00   0.266354E+00
   65.00   70.00    0.00   0.271716E+00
   70.00   70.00    0.00   0.271860E+00
   75.00   70.00    0.00   0.221171E+00
   80.00   70.00    0.00   0.227169E+00
   85.00   70.00    0.00   0.205923E+00
   90.00   70.00    0.00   0.136478E+00
    0.00   75.00    0.00   0.293027E+01
    5.00   75.00    0.00   0.236912E+01
   10.00   75.00    0.00   0.210789E+01
   15.00   75.00    0.00   0.231680E+01
   20.00   75.00    0.00   0.211396E+01
   25.00   75.00    0.00   0.201513E+01
   30.00   75.00    0.00   0.222572E+01
   35.00   75.00    0.00   0.130001E+00
   40.00   75.00    0.00   0.194620E+00
   45.00   75.00    0.00   0.234015E+00
   50.00   75.00    0.00   0.213635E+00
   55.00   75.00    0.00   0.266157E+00
   60.00   75.00    0.00   0.271503E+00
   65.00   75.00    0.00   0.271781E+00
   70.00   75.00    0.00   0.221026E+00
   75.00   75.00    0.00   0.227235E+00
   80.00   75.00    0.00   0.205889E+00
   85.00   75.00    0.00   0.136393E+00
   90.00   75.00    0.00   0.422486E+01
    0.00   80.00    0.00   0.237114E+01
    5.00   80.00    0.00   0.210678E+01
   10.00   80.00    0.00   0.231557E+01
   15.00   80.00    0.00   0.211426E+01
   20.00   80.00    0.00   0.201421E+01
   25.00   80.00    0.00   0.222481E+01
   30.00   80.00    0.00   0.130043E+00
   35.00   80.00    0.00   0.194614E+00
   40.00   80.00    0.00   0.234050E+00
   45.00   80.00    0.00   0.213688E+00
   50.00   80.00    0.00   0.266154E+00
   55.00   80.00    0.00   0.271521E+00
   60.00   80.00    0.00   0.271656E+00
   65.00   80.00    0.00   0.220965E+00
   70.00   80.00    0.00   0.227191E+00
   75.00   80.00    0.00   0.205725E+00
   80.00   80.00    0.00   0.136372E+00
   85.00   80.00    0.00   0.422479E+01
   90.00   80.00    0.00   0.201235E+01
    0.00   85.00    0.00   0.210740E+01
    5.00   85.00    0.00   0.231620E+01
   10.00   85.00    0.00   0.211498E+01
   15.00   85.00    0.00   0.201363E+01
   20.00   85.00    0.00   0.222497E+01
   25.00   85.00    0.00   0.130062E+00
